Date,AAPL,MSFT,GOOG,AMZN,DB
2012-10-16,82.621811,25.284143,369.943878,243.940002,39.187816999999995
2012-10-17,81.963173,25.369879,375.304016,247.49000499999997,40.258476
2012-10-18,80.44117,25.292713,345.254456,244.850006,40.362926
2012-10-19,77.542114,24.55537,338.692139,240.0,38.71777
2012-10-22,80.617897,24.006643,337.14221200000003,233.77999900000003,39.396725
2012-10-23,77.9897,24.049517,337.976776,234.309998,38.021415999999995
2012-10-24,78.430885,23.920904,336.461639,228.49000499999997,37.699345
2012-10-25,77.50395999999999,23.903759,336.690155,222.919998,37.847321
2012-10-26,76.799545,24.186695,335.39358500000003,238.24000499999997,38.099751
2012-10-31,75.695862,24.469625,337.951935,232.88999900000002,39.788433000000005
2012-11-01,75.85099,25.309866,341.573395,232.13999900000002,40.554428
2012-11-02,73.341011,25.292713,341.73733500000003,232.419998,39.588229999999996
2012-11-05,74.335342,25.404170999999998,339.273346,234.330002,39.370616999999996
2012-11-06,74.110283,25.601377,338.657349,237.559998,40.119202
2012-11-07,71.27462,24.932620999999997,331.404541,232.059998,38.378296
2012-11-08,68.68804200000001,24.70113,324.037445,227.350006,37.664524
2012-11-09,69.877228,24.718270999999998,329.372742,226.309998,36.863712
2012-11-12,69.336929,24.195267,330.79846200000003,226.47000099999997,37.063911
2012-11-13,69.345894,23.417285999999997,327.395599,226.600006,37.185776000000004
2012-11-14,68.57693499999999,23.201178,324.16659500000003,222.94999700000002,36.297916
2012-11-15,67.138649,23.045582,321.538696,220.600006,37.098732
2012-11-16,67.401772,22.924561999999998,321.498962,225.229996,36.184753
2012-11-19,72.262001,23.106094,331.946014,229.710007,37.647114
2012-11-20,71.646301,23.0888,332.820313,233.77999900000003,37.072617
2012-11-21,71.747238,23.296263,330.783569,238.02999900000003,36.820183
2012-11-23,72.999016,23.944585999999997,331.826782,239.88000499999998,38.186797999999996
2012-11-26,75.302017,23.676613,328.438812,243.61999500000002,37.690636
2012-11-27,74.695297,23.408646,333.187927,243.399994,37.803795
2012-11-28,74.46028100000001,23.650682,339.62606800000003,247.11000099999998,37.586182
2012-11-29,75.280304,23.296263,343.709503,251.270004,38.186797999999996
2012-11-30,74.75914,23.011009,346.928558,252.05000299999998,38.413115999999995
2012-12-03,74.875404,22.846762,345.378632,250.330002,38.517567
2012-12-04,73.554665,22.794897,343.282288,252.49000499999997,39.179115
2012-12-05,68.820877,23.054228,341.68765299999995,253.960007,40.101795
2012-12-06,69.900238,23.106094,343.33197,253.36999500000002,39.596931
2012-12-07,68.113251,22.8727,339.894318,253.270004,39.013729
2012-12-10,67.67514,23.287620999999998,340.495392,247.770004,38.465343
2012-12-11,69.152985,23.616107999999997,346.188385,250.690002,38.822224
2012-12-12,68.847717,23.546948999999998,346.526184,251.75999500000003,38.804817
2012-12-13,67.658516,23.434573999999998,349.07955899999996,251.25,37.821205
2012-12-14,65.116653,23.175245,348.711975,249.190002,37.290226000000004
2012-12-17,66.27134699999999,23.425926,358.061157,253.86000099999998,37.525253
2012-12-18,68.19628900000001,23.823567999999998,358.205231,260.399994,38.500164
2012-12-19,67.226784,23.607456,357.728333,257.98999,38.743889
2012-12-20,66.641785,23.927298,358.846039,261.5,38.987614
2012-12-21,66.335205,23.728479,355.502808,256.920013,38.021415999999995
2012-12-24,66.442513,23.391354,352.457611,258.619995,37.899551
2012-12-26,65.526649,23.21846,352.144653,248.63000499999998,37.821205
2012-12-27,65.78978000000001,23.304907,350.862976,248.309998,38.622025
2012-12-28,65.09111,22.950497,347.74325600000003,245.17999300000002,37.70805
2012-12-31,67.975296,23.0888,351.404449,250.86999500000002,38.552391
2013-01-02,70.12886,23.875432999999997,359.288177,257.309998,39.55341
2013-01-03,69.243675,23.555593,359.496826,258.480011,39.266159
2013-01-04,67.314934,23.114735,366.600616,259.149994,39.892883000000005
2013-01-07,66.918953,23.071517999999998,365.00100699999996,268.459991,40.719814
2013-01-08,67.099052,22.950497,364.28070099999997,266.380005,41.268196
2013-01-09,66.05038499999999,23.08016,366.67514,266.350006,41.346542
2013-01-10,66.869118,22.8727,368.344269,265.339996,43.096157
2013-01-11,66.459114,23.192532999999997,367.60409500000003,267.940002,43.191902
2013-01-14,64.089691,23.244404,359.288177,272.730011,43.035225
2013-01-15,62.067677,23.521017,360.122742,271.899994,42.826313
2013-01-16,64.644051,23.374062,355.28421000000003,268.929993,42.312748
2013-01-17,64.208481,23.555593,353.361725,270.480011,42.530361
2013-01-18,63.86615,23.555593,349.978729,272.119995,42.678333
2013-01-22,64.475433,23.469151,349.16403199999996,270.190002,42.069023
2013-01-23,65.655663,23.866785,368.354218,268.109985,41.111523
2013-01-24,57.543395999999994,23.884071,374.668152,273.459991,42.156067
2013-01-25,56.186886,24.100185,374.399902,283.98999,43.078739
2013-01-28,57.457817000000006,24.126117999999998,372.939392,276.040009,43.244133000000005
2013-01-29,58.535895999999994,24.212557,374.404846,260.350006,43.348591
2013-01-30,58.351952000000004,24.074249,374.47937,272.76001,43.853451
2013-01-31,58.18079399999999,23.728479,375.403351,265.5,44.967628000000005
2013-02-01,57.941925,24.143406,385.294037,265.0,45.872898
2013-02-04,56.49855,23.719832999999998,377.057617,259.980011,43.635834
2013-02-05,58.480957,23.771704,380.39590499999997,266.890015,44.506287
2013-02-06,58.41836899999999,23.63339,382.596588,262.22000099999997,43.966606
2013-02-07,60.155361,23.581528,384.474365,260.230011,42.739273
2013-02-08,61.023883999999995,23.814926,390.14746099999996,261.950012,43.009109
2013-02-11,61.659843,24.082897,388.682007,257.209991,42.652225
2013-02-12,60.114254,24.100185,387.82754500000004,258.700012,43.409519
2013-02-13,59.999924,24.229847,388.900574,269.47000099999997,42.982997999999995
2013-02-14,59.94595699999999,24.238489,391.364563,269.23999,42.434605
2013-02-15,59.119843,24.212557,393.883179,265.089996,41.668613
2013-02-19,59.098015000000004,24.447884,400.818054,269.75,42.652225
2013-02-20,57.666782,24.290998000000002,393.669556,266.410004,41.424884999999996
2013-02-21,57.308331,23.959803,395.194641,265.940002,39.831955
2013-02-22,57.918597999999996,24.195127,397.27114900000004,265.420013,40.91132
2013-02-25,56.889488,23.855209,392.830017,259.869995,39.448956
2013-02-26,57.682201,23.855209,392.512085,259.359985,39.379318
2013-02-27,57.116898,24.238705,397.305908,263.25,40.023457
2013-02-28,56.70962900000001,24.22999,398.011322,264.269989,39.80584
2013-03-01,55.305378000000005,24.360727,400.490204,265.73999,38.038821999999996
2013-03-04,53.966648,24.535045999999998,408.095734,273.109985,37.864727
2013-03-05,55.391456999999996,24.709362,416.590485,275.589996,38.552391
2013-03-06,54.687405000000005,24.482748,413.003815,273.790009,38.534981
2013-03-07,55.319508,24.526329,413.60986299999996,273.880005,38.857048
2013-03-08,55.465977,24.404308,413.073364,274.190002,39.292266999999995
2013-03-11,56.256111,24.290998000000002,414.712708,271.23999,38.848339
2013-03-12,55.043282,24.325863000000002,411.130981,274.130005,38.735191
2013-03-13,55.033005,24.334581,409.988434,275.100006,38.125865999999995
2013-03-14,55.56618100000001,24.526329,408.11560099999997,265.73999,38.839638
2013-03-15,56.999981000000005,24.439169,404.518982,261.820007,38.848339
2013-03-18,58.549423,24.491467,401.285034,257.890015,37.446911
2013-03-19,58.391388,24.561188,403.038635,256.410004,36.280502
2013-03-20,58.081753000000006,24.683214000000003,404.72265600000003,257.27999900000003,36.472
2013-03-21,58.165264,24.500183,403.00882,253.38999900000002,36.559048
2013-03-22,59.344692,24.6222,402.536896,257.75,36.654796999999995
